1,Architecture,2,1,NULL,NULL
2,Plastic Arts,2,1,NULL,NULL
3,International Business Managemnet ,2,2,NULL,NULL
4,Tourism Management,2,2,NULL,NULL
5,International Relations ,2,3,NULL,NULL
6,Political Sciences And Public Administration,2,3,NULL,NULL
7,Law,2,4,NULL,NULL
8,Plastic Arts,2,5,NULL,NULL
9,Photography,2,5,NULL,NULL
10,Ceramics,2,5,NULL,NULL
11,film Design & Directing ,2,5,NULL,NULL
12,Archaeoloy And History Of Arts,2,5,NULL,NULL
13,Architecture,2,6,NULL,NULL
14,Interior Architecture and Environmental Design,2,6,NULL,NULL
15,Industrial Design,2,6,NULL,NULL
16,Urban Design and Landscape Architecture*,2,6,NULL,NULL
17,Digital Game Design,2,7,NULL,NULL
18,Visual Communication Design,2,7,NULL,NULL
19,New Media & Communication ,2,7,NULL,NULL
20,Advertising Design & Communication,2,7,NULL,NULL
21,Communication Design And Management,2,7,NULL,NULL
22,Contemporary Dance*,2,8,NULL,NULL
23,Acting*,2,8,NULL,NULL
24,Sound Arts and Design*,2,8,NULL,NULL
25,Art,3,5,NULL,NULL
26,Architectural Design ,3,6,NULL,NULL
27,Communication Studies,3,7,NULL,NULL
28,Architectural ,4,6,NULL,NULL
29,Arts And Culture,4,5,NULL,NULL
30,Management,4,7,NULL,NULL
31,Computer Programming,1,9,NULL,NULL
32,Test Programcilik,1,9,NULL,NULL
33,Business Management,1,9,NULL,NULL
34,First and Emergency Aid,1,10,NULL,NULL
35,Anesthesia,1,10,NULL,NULL
36,Audiometry,1,10,NULL,NULL
37,Medical Documentation & Secretarial Services,1,10,NULL,NULL
38,Pefusions,1,10,NULL,NULL
39,Justice,1,11,NULL,NULL
40,Civil Aviation Cabin Services,2,12,NULL,NULL
41,Business Administration,2,13,NULL,NULL
42,Polotical Science And International Relations,2,13,NULL,NULL
43,Psychology,2,13,NULL,NULL
44,Banking And Finance,2,13,NULL,NULL
45,Management Information Sysytems,2,13,NULL,NULL
46,Economy,2,13,NULL,NULL
47,Social Work,2,13,NULL,NULL
48,Computer Engineering ,2,14,NULL,NULL
49,Computer Engineering ( CyberSecurity),2,14,NULL,NULL
50,Computer Engineering ( AI),2,14,NULL,NULL
51,Civil Engineering,2,14,NULL,NULL
52,Architecture,2,14,NULL,NULL
53,Electrical and Electronics Engineering,2,14,NULL,NULL
54,Software Engineering,2,14,NULL,NULL
55,Industrial Engineering,2,14,NULL,NULL
56,Law LL.B. ,2,4,NULL,NULL
57,English Language Teaching,2,15,NULL,NULL
58,Tourism And Hotel Management,2,16,NULL,NULL
59,Gastronomy and Culinary Arts,2,16,NULL,NULL
60,Nursing,2,17,NULL,NULL
61,Pharmacy,2,18,NULL,NULL
62,Political Sciences And International Relations,3,13,NULL,NULL
63,Business Administration ,3,13,NULL,NULL
64,Public Administration,3,13,NULL,NULL
65,Architecture,3,14,NULL,NULL
66,Computer Engineering ,3,14,NULL,NULL
67,Blockchain Technologies,3,14,NULL,NULL
68,Management Information Systems,3,14,NULL,NULL
69,International and Comparative Law,3,4,NULL,NULL
70,Healthcare Management,3,17,NULL,NULL
71,English Language Teaching,3,15,NULL,NULL
72,Political Sciences And International Relations,4,13,NULL,NULL
73,Business Administration ,4,13,NULL,NULL
74,Public Administration,4,13,NULL,NULL
75,Architecture,4,14,NULL,NULL
76,Computer Engineering,4,14,NULL,NULL
77,Management Information Systems,4,14,NULL,NULL
78,International And Comparative Law,4,4,NULL,NULL
79,Computer technology And Programming,1,9,NULL,NULL
80,Construction Technology,1,9,NULL,NULL
81,First and Emergency Aid,1,9,NULL,NULL
82,Public Relations And Advertising,1,9,NULL,NULL
83,Radio & TV Programming,1,9,NULL,NULL
84,Plant Production And technologies,2,19,NULL,NULL
85,Molecular Biology & Genetics,2,20,NULL,NULL
86,Psychology,2,20,NULL,NULL
87,Translation Science,2,20,NULL,NULL
88,Advertising And Public Relations,2,7,NULL,NULL
89,Journalism,2,7,NULL,NULL
90,Radio And Television,2,7,NULL,NULL
91,Visual Communication Design,2,7,NULL,NULL
92,Accounting & Finance,2,21,NULL,NULL
93,Business Administration,2,21,NULL,NULL
94,International Relations,2,21,NULL,NULL
95,Digital Media And Marketing,2,21,NULL,NULL
96,Economics,2,21,NULL,NULL
97,English Language teaching,2,22,NULL,NULL
98,BioEngineering,2,14,NULL,NULL
99,Biomedical Engineering,2,14,NULL,NULL
100,Civil Engineering,2,14,NULL,NULL
101,Computer Engineering,2,14,NULL,NULL
102,Electrical & Electronics Engineering,2,14,NULL,NULL
103,Energy Systems Engineering,2,14,NULL,NULL
104,Environmental Engineering,2,14,NULL,NULL
105,Industrial Engineering,2,14,NULL,NULL
106,Information Systems Engineering,2,14,NULL,NULL
107,Mechanical Engineering,2,14,NULL,NULL
108,Mechatronis Engineering,2,14,NULL,NULL
109,Medical Engineering,2,14,NULL,NULL
110,Petroleum and Natural Gas Engineering,2,14,NULL,NULL
111,Software Engineering,2,14,NULL,NULL
112,Architecture,2,23,NULL,NULL
113,Graphic Design,2,23,NULL,NULL
114,Interior Design,2,23,NULL,NULL
115,Nursing,2,17,NULL,NULL
116,Social Work ,2,17,NULL,NULL
117,Physiotherapy and Rehabilitation,2,17,NULL,NULL
118,International Law (LLB),2,4,NULL,NULL
119,Medicine,2,24,NULL,NULL
120,Dentistry,2,25,NULL,NULL
121,Pharmacy(Pharm.D),2,18,NULL,NULL
122,Information Technology,2,26,NULL,NULL
123,Management Information Systems,2,26,NULL,NULL
124,Computer Technologies And Programming ,2,26,NULL,NULL
125,Tourism And Hotel Management,2,27,NULL,NULL
126,Gastronomy & Cullinary Arts,2,27,NULL,NULL
127,Accounting And Finance,3,28,NULL,NULL
128,Architecture,3,28,NULL,NULL
129,Bioengineering,3,28,NULL,NULL
130,Bsiness Administration,3,28,NULL,NULL
131,Chemistry ,3,28,NULL,NULL
132,Civil Engineering,3,28,NULL,NULL
133,Communication and Media Studies,3,28,NULL,NULL
134,Computer Engineering ,3,28,NULL,NULL
135,Economy,3,28,NULL,NULL
136,Electrical And Electronics Engineering,3,28,NULL,NULL
137,Energy Systems Engineering,3,28,NULL,NULL
138,Engineering Management ,3,28,NULL,NULL
139,English Language And Literature,3,28,NULL,NULL
140,English Language Teaching,3,28,NULL,NULL
141,Environmental Engineering,3,28,NULL,NULL
142,Environmental Sciences,3,28,NULL,NULL
143,Graphic Design,3,28,NULL,NULL
144,Health Care Organization Management,3,28,NULL,NULL
145,Information Systems Engineering,3,28,NULL,NULL
146,Information Technology,3,28,NULL,NULL
147,Interior Design,3,28,NULL,NULL
148,International Banking And Finance,3,28,NULL,NULL
149,International LAw,3,28,NULL,NULL
150,International Relations,3,28,NULL,NULL
151,Management Information Systems,3,28,NULL,NULL
152,Marketing Management,3,28,NULL,NULL
153,Pharmacognosy,3,28,NULL,NULL
154,Plant Sciences and Technologies,3,28,NULL,NULL
155,Tourism And Hospitality Management ,3,28,NULL,NULL
156,Architecture,4,28,NULL,NULL
157,Bioengineering,4,28,NULL,NULL
158,Business Administration,4,28,NULL,NULL
159,Civil Engineering,4,28,NULL,NULL
160,Communication and Media Studies,4,28,NULL,NULL
161,Computer Engineering,4,28,NULL,NULL
162,Electrical And Electronics Engineering,4,28,NULL,NULL
163,Energy Systems Engineering,4,28,NULL,NULL
164,English Language Teaching,4,28,NULL,NULL
165,Environmental Engineering,4,28,NULL,NULL
166,Environmental Sciences,4,28,NULL,NULL
167,International Relations,4,28,NULL,NULL
168,Management Information Systems,4,28,NULL,NULL
169,Tourism Management ,4,28,NULL,NULL
170,Physiotherapy,1,10,NULL,NULL
171,First and Emergency Aid,1,10,NULL,NULL
172,Opticianry,1,10,NULL,NULL
173,Logistics,1,29,NULL,NULL
174,Tourist Guidance,1,29,NULL,NULL
175,Justice,1,11,NULL,NULL
176,Aviation Ground Service Management,1,30,NULL,NULL
177,Civil Aviation Cabin Services,1,30,NULL,NULL
178,Culinary Arts,1,31,NULL,NULL
179,Computer Engineering ,2,14,NULL,NULL
180,Electrical and Electronics Engineering,2,14,NULL,NULL
181,Mechatronics Engineering,2,14,NULL,NULL
182,Software Engineering,2,14,NULL,NULL
183,Information Security Engineering,2,14,NULL,NULL
184,Buisness Administration ,2,13,NULL,NULL
185,Business Administartion *,2,13,NULL,NULL
186,Banking And Finance,2,13,NULL,NULL
187,Civil Aviation Management,2,13,NULL,NULL
188,International Relations ,2,13,NULL,NULL
189,International Relations *,2,13,NULL,NULL
190,Psychology ,2,13,NULL,NULL
191,Psychology*,2,13,NULL,NULL
192,Political Sciences And Public Administration,2,13,NULL,NULL
193,Tourism And Hotel Management,2,16,NULL,NULL
194,Gastronomy and Culinary Arts*,2,16,NULL,NULL
195,Architecture,2,32,NULL,NULL
196,Interior Architecture and Environmental Design*,2,32,NULL,NULL
197,Nursing ,2,17,NULL,NULL
198,Physiotherapy and Rehabilitation*,2,17,NULL,NULL
199,Law*,2,4,NULL,NULL
200,International Law,2,4,NULL,NULL
201,Psychological Counselling and Guidance*,2,15,NULL,NULL
202,Turkish Language Teaching*,2,15,NULL,NULL
203,Business Administration ,3,13,NULL,NULL
204,Banking And Finance,3,13,NULL,NULL
205,Tourism Management,3,16,NULL,NULL
206,Education management *,3,15,NULL,NULL
207,Physiotherapy and Rehabilitation *,3,17,NULL,NULL
208,Nursing * ,3,17,NULL,NULL
209,Computer Engineering ,3,14,NULL,NULL
210,Business Adminnistration ,4,13,NULL,NULL
211,Education Management And Supervision* ,4,15,NULL,NULL
212,Business Administration ,2,13,NULL,NULL
213,Civil Aviation Management,2,12,NULL,NULL
214,Tourism And Hotel Management,2,16,NULL,NULL
215,Psychology,2,13,NULL,NULL
216,Logistics,2,13,NULL,NULL
217,Computer Engineering,2,14,NULL,NULL
218,Electrical and Electronics Engineering,2,14,NULL,NULL
219,Information Systems Engineering,2,14,NULL,NULL
220,Business Administration,2,13,NULL,NULL
221,Architecture,2,23,NULL,NULL
222,Interior Architecture,2,23,NULL,NULL
223,Actuarial Science*,2,20,NULL,NULL
224,Mathematics & Computer Science*,2,20,NULL,NULL
225,Molecular Biology & Genetics,2,20,NULL,NULL
226,Psychology,2,20,NULL,NULL
227,Chemistry,2,20,NULL,NULL
228,Physics,2,20,NULL,NULL
229,Statistics,2,20,NULL,NULL
230,Computer Education and Instructional Technology,2,15,NULL,NULL
231,Guidance and Psychological Counselling,2,15,NULL,NULL
232,English Language Teaching,2,15,NULL,NULL
233,Civil Engineering,2,14,NULL,NULL
234,Computer Engineering*,2,14,NULL,NULL
235,Software Engineering,2,14,NULL,NULL
236,electrical and Electronics Engineering*,2,14,NULL,NULL
237,Information Systems Engineering*,2,14,NULL,NULL
238,Industrial Engineering*,2,14,NULL,NULL
239,Management Engineering,2,14,NULL,NULL
240,Mechanical Engineering*,2,14,NULL,NULL
241,Mechatronics Engineering,2,14,NULL,NULL
242,Biomedical Engineering,2,14,NULL,NULL
243,Electronics and Communication Engineering,2,14,NULL,NULL
244,Business Administration ,2,2,NULL,NULL
245,Economics,2,2,NULL,NULL
246,International Relations,2,2,NULL,NULL
247,Political Sciences ,2,2,NULL,NULL
248,Public Administration ,2,2,NULL,NULL
249,Accounting & Finance Management ,2,2,NULL,NULL
250,Banking and Finance*,2,2,NULL,NULL
251,Banking and Insurance,2,2,NULL,NULL
252,International Finance,2,2,NULL,NULL
253,International Trade & Business,2,2,NULL,NULL
254,Management Information Systems*,2,2,NULL,NULL
255,Marketing ,2,2,NULL,NULL
